884	1	[]
1168	2	[][]
1172	1	[]
1187	1	[]
1192	1	[]
1239.4	1	[]
1401	1	[]
1610.37	1	[]
1713.8	1	[]
1759	1	[]
1768.6	1	[]
1773	1	[]
1784	1	[]
1807.4	1	[]
1839.2	1	[]
1867	1	[]
1891	1	[]
1921	1	[]
1924.9	1	[]
1967	1	[]
1996	1	[]
2085	1	[]
2223	1	[]
2291	1	[]
2310.23	1	[]
2315.9	1	[]
2353.5	1	[]
2445	1	[]
2519.8	1	[]
2532.4	1	[]
2545	1	[]
2690.92	1	[]
2724.6	1	[]
2740	1	[]
2750	1	[]
2827.3	1	[]
2856.2	1	[]
2868.6	1	[]
2869	1	[]
2970	1	[]
2998.1	1	[]
3019.1	1	[]
3039.49	1	[]
3043	1	[]
3085.5	1	[]
3112	1	[]
3127	1	[]
3320	1	[]
3324.9	1	[]
3392.3	1	[]
3454	1	[]
3517.8	1	[]
3534.4	1	[]
3583	1	[]
3705.5	1	[]
3706.49	1	[]
3730	1	[]
3766.5	1	[]
3773	1	[]
3817.5	1	[]
3824.08	1	[]
3869	1	[]
3895.7	1	[]
4002.5	1	[]
4013.4	1	[]
4071.6	1	[]
4109	1	[]
4152	1	[]
4165	1	[]
4204.5	1	[]
4228.8	1	[]
4299.1	1	[]
4386.75	1	[]
4437.44	1	[]
4529.6	1	[]
4590.3	1	[]
4726	1	[]
4835	1	[]
5012	1	[]
5020	1	[]
5035.74	1	[]
5113	1	[]
5129	1	[]
5209.5	1	[]
5235.6	1	[]
5452.4	1	[]
5557.8	1	[]
5599.8	1	[]
5733	1	[]
5914.3	1	[]
6020.6	1	[]
6943.1	1	[]
