73.31	1	[]
76.57	1	[]
79.95	1	[]
80.73	1	[]
88.7	1	[]
89.65	1	[]
91.05	1	[]
91.2	1	[]
92.05	1	[]
92.59	1	[]
92.6	1	[]
92.63	1	[]
93.1	1	[]
93.85	1	[]
94.02	1	[]
94.36	1	[]
94.5	1	[]
94.89	1	[]
94.9	1	[]
95	1	[]
95.51	1	[]
95.6	1	[]
95.7	1	[]
95.95	1	[]
96.6	1	[]
96.9	1	[]
97	1	[]
97.2	1	[]
97.27	1	[]
97.79	1	[]
97.88	1	[]
98	1	[]
98.2	1	[]
98.4	1	[]
98.5	1	[]
98.6	1	[]
98.9	1	[]
98.95	1	[]
99.2	1	[]
99.8	1	[]
100.1	1	[]
100.13	1	[]
100.2	1	[]
100.37	1	[]
100.6	2	[][]
100.8	1	[]
101.2	1	[]
101.3	2	[][]
101.4	1	[]
101.6	1	[]
101.7	1	[]
101.8	1	[]
101.82	1	[]
101.9	1	[]
102.14	1	[]
102.23	1	[]
102.4	1	[]
102.93	1	[]
103.06	1	[]
103.11	1	[]
103.19	2	[][]
103.2	1	[]
103.23	1	[]
103.47	1	[]
103.6	1	[]
103.8	1	[]
103.87	1	[]
104.1	1	[]
104.28	1	[]
104.43	1	[]
105.38	1	[]
105.51	1	[]
105.67	1	[]
105.8	1	[]
105.9	1	[]
106	1	[]
106.36	1	[]
107.06	1	[]
107.38	1	[]
107.56	1	[]
107.79	1	[]
108.1	1	[]
108.49	1	[]
108.63	1	[]
108.89	1	[]
108.9	1	[]
109.78	1	[]
110.17	1	[]
111.38	1	[]
121.68	1	[]
