136	1	[]
138	1	[]
149.96	1	[]
151	1	[]
154	1	[]
162	1	[]
163	2	[][]
163.13	1	[]
164	1	[]
166	1	[]
169	1	[]
173	1	[]
182.39	1	[]
187	1	[]
192	1	[]
193	2	[][]
194	1	[]
197	2	[][]
199	1	[]
199.5	1	[]
200	1	[]
201.64	1	[]
205	1	[]
206	2	[][]
209	1	[]
211	1	[]
212	1	[]
215	5	[][][][][]
219.88	1	[]
220	1	[]
221	1	[]
222	1	[]
222.92	2	[][]
223	1	[]
227.86	1	[]
228	3	[][][]
230	1	[]
231	1	[]
232	1	[]
235.66	1	[]
237.1	1	[]
238	1	[]
239	3	[][][]
239.13	1	[]
240	2	[][]
241	1	[]
244.45	1	[]
248	3	[][][]
249	2	[][]
250	1	[]
251.29	1	[]
252	2	[][]
254.33	1	[]
255	1	[]
256	1	[]
258	1	[]
259	1	[]
260	1	[]
262	1	[]
263	1	[]
268	2	[][]
270.76	1	[]
271	1	[]
271.55	1	[]
280	1	[]
282.7	1	[]
288	1	[]
288.78	1	[]
298	2	[][]
299	1	[]
314	1	[]
325	1	[]
333	1	[]
